"","AF_A","AF_B","CO_A","CO_B"
"LOC100246939",2375.51148511985,1467.52900448377,4939.6014002928,4250.83877399365
"LOC100252076",56.0513945927156,29.0189351169106,135.425874822154,219.353440265832
"LOC104879796",0.889704676074851,6.63289945529386,5.73838452636245,17.317376863092
"LOC100264089",1690.43888454222,1969.97113822228,2322.89805627152,2254.72246757458
"LOC100241725",5828.45533296635,4618.98535818026,10022.6624137447,10509.3387723151
"LOC100253777",112.102789185431,113.588403171907,204.286489138503,183.564194748775
"LOC100243538",320.293683386946,336.619647356163,305.282056802483,347.502029052713
"LOC100265864",5.33822805644911,11.6075740467643,0,0
"LOC100260653",3522.34081258034,3469.00641511869,3832.09318670485,3481.94724127236
"LOC100255579",4168.26640741068,3619.90487772662,5780.84857185754,6072.62681999093
"LOC100250396",3021.43707995019,2280.05918775726,5317.18710212745,4646.82945826302
"LOC100245269",836.32239551036,209.765445273668,2248.29905742881,3066.33019655816
"LOC104879798",406.595036966207,320.037398717929,600.235021457513,549.538092455453
"MIR403F",35.588187042994,16.5822486382346,30.9872764423573,21.9353440265832
"LOC100264006",1495.59356048182,1311.65586728436,1945.31235443687,2208.54279593967
"LOC100262417",1334.55701411228,1156.61184251687,1684.78969694002,1398.08955874696
"LOC100258835",1940.44589851925,1775.12971672302,2721.14194240108,3017.8415413415
"LOC104879799",66.7278507056138,62.1834323933799,58.531522168897,79.6599335702232
"LOC100264200",2365.72473368303,2220.36309265962,162.970120548694,197.418096239249
"LOC100253689",7487.75455384595,5922.3501011455,16862.8167691687,19961.1630641907
"LOC104879800",99.6469237203833,97.0061545336727,27.5442457265398,65.8060320797496
"LOC100248587",1480.46858098855,1393.73799804362,739.103926995484,647.669894679641
"LOC100243428",4579.30996775726,4244.22653895616,4710.0660192383,4845.40204629314
"LOC100265749",645.925594830342,697.283555237767,992.740523060705,1005.56234985021
"LOC100243451",297.161361809,309.258937103076,329.383271813205,304.785832790419
"LOC100260531",15.1249794932725,14.0949113424994,4.59070762108996,0
"LOC104879841",2.66911402822455,4.97467459147039,2.29535381054498,0
"LOC100264086",13.3455701411228,4.14556215955866,0,0
"LOC104879801",43.5955291276677,16.5822486382346,9.18141524217993,19.6263604448376
"LOC100265771",760.697498043998,891.295864305112,922.732231839083,716.939402132009
"LOC104879803",815.859187960638,1228.74462409319,985.85446162907,837.00654838278
"LOC100260647",367.448031218913,450.208050528071,65.417583600532,114.294687296407
"LOC100260558",644.146185478192,626.80899852527,651.880482194775,736.565762576846
"LOC100255485",18413.3279760451,2479.04617141608,30245.8771615512,43467.7704181518
"LOC100250305",5524.17633374875,810.871958409674,11695.975341632,19914.9833925558
"LOC104879804",0.889704676074851,5.80378702338213,0,9.2359343269824
"LOC100245186",659.271164971465,567.942015859537,678.277051016042,663.83277975186
