"","AF_A","AF_B","CO_A","CO_B"
"LOC100232937",4118,4710,4664,4271
"LOC100261070",190,157,50,64
"LOC100264607",3314,3849,3349,3105
"LOC100259429",54,72,55,52
"LOC100255981",970,929,732,753
"LOC100250842",55,74,133,94
"LOC104879326",0,0,1,0
"LOC100254309",3378,3154,3909,3363
"LOC100268019",756,782,894,691
"LOC100249212",821,822,863,1061
"LOC100244042",5059,6788,3227,4571
"LOC100266376",8572,7827,9519,10219
"LOC109122499",4,3,3,9
"LOC104880150",3,3,0,2
"LOC100252606",1508,1402,2302,2132
"LOC100261170",1480,1484,1016,1023
"LOC109122501",17,4,6,1
"LOC100247498",25,29,4,16
"LOC100264648",41,12,34,28
"LOC100853103",0,1,2,0
"LOC100249261",0,0,0,1
"LOC109122503",0,2,0,0
"LOC100266435",10,16,17,12
"LOC100256086",28,32,33,43
"LOC100852986",242,220,70,38
"LOC100250939",2865,3032,113,134
"LOC100245790",511,681,250,213
"LOC100268116",31,47,32,38
"LOC100256139",2534,3425,1657,1303
"LOC100262719",1498,1740,750,663
"LOC100262965",7906,8367,8553,8697
"LOC100257839",1463,1766,819,726
"LOC100247349",4364,5486,285,305
"LOC100252692",3802,4933,4673,6618
"LOC100247591",992,989,394,334
"LOC100242160",1026,649,1048,1346
"LOC100264453",4950,4621,4383,4958
"LOC109123408",0,0,0,0
"LOC100259272",1512,1179,1591,1684
"LOC100264495",603,672,514,559
"LOC100254156",4280,5618,129,95
"LOC109122513",754,1213,545,893
"LOC100249103",1065,1098,818,792
"LOC100249051",2486,1800,3444,4037
"LOC100243898",2835,3137,2654,2333
"LOC100243944",3497,3860,3020,2826
"LOC104879721",4,9,0,2
"LOC100266270",279,271,437,528
"LOC104879668",4165,4834,4893,3993
"LOC100261060",213,244,236,221
"LOC100266222",3324,3785,1392,1131
"LOC100261017",27,47,64,95
"LOC100255972",13791,8359,23710,26953
"LOC100255936",10,20,1,0
"LOC100250832",2726,2474,2220,2154
"LOC104879573",9,8,6,0
"LOC100852609",295,412,119,124
"LOC100245641",3208,3852,2016,1986
"LOC100268011",22,19,23,23
"LOC104879319",0,0,0,0
"LOC100262811",5754,7512,4642,4193
"LOC100264640",14,37,9,6
"LOC100259463",222,333,150,126
"LOC109123409",2,1,0,0
"LOC100265597",195,326,295,202
"LOC100249254",510,880,435,318
"LOC100257690",540,410,632,735
"LOC100266424",2,0,0,0
"LOC100261217",544,498,173,85
"LOC100252552",15394,11328,21273,26681
"LOC104879308",64,111,15,9
"LOC100245838",4047,3930,1923,1788
"LOC100247446",631,1088,421,375
"LOC100262710",152,237,6,2
"LOC100242311",2655,2603,1836,2159
"LOC100264600",3069,2283,3335,3039
"LOC100257582",0,11,1,0
"LOC100252458",1298,1530,688,753
"LOC100247341",110,169,85,98
"LOC100242205",1137,1193,1273,1141
"LOC100264487",622,810,302,259
"LOC100855035",16,38,64,48
"LOC100254201",3754,3327,3924,4361
"LOC109122521",1,1,1,2
"LOC104879144",1,0,2,0
"LOC100259425",4051,4396,4009,4658
"LOC100852659",7359,9998,36,33
"LOC100249092",2676,2677,1658,1532
"LOC109123410",0,0,0,0
"LOC100255964",1,0,0,0
"LOC104879119",0,0,0,0
"LOC100254304",5918,7692,5689,4258
"LOC100249205",2447,3188,3877,3894
"LOC100245684",4329,4459,3509,4232
"LOC100268001",6,23,13,16
"LOC100262850",0,0,0,0
"LOC100244034",64,50,4,2
"LOC100266368",7983,8993,3383,2539
"LOC100257728",1209,1394,1502,1571
"LOC100252594",3919,4655,1189,747
"LOC100256078",532,482,253,210
"LOC100261163",1414,3303,163,185
"LOC100250931",5170,5392,4729,5488
"LOC100247486",3,4,1,1
"LOC100242351",68,87,76,37
"LOC100264632",3063,2752,2669,2524
"LOC100245785",2087,2702,1445,1797
"LOC100259457",239,354,17,9
"LOC100249246",33,160,28,17
"LOC100254345",40,43,86,121
"LOC100233138",3384,3255,3843,4055
"LOC100244077",11,2,6,2
"LOC100262958",4240,2785,10295,12888
"LOC100266415",4,1,0,0
"LOC100261207",580,868,735,655
"LOC100257833",1045,954,26,24
"LOC100252687",6,2,0,0
"LOC100250969",1,0,0,0
"LOC100247586",752,246,203,395
"LOC100242453",207,183,19,24
"LOC100264447",0,4,0,0
"LOC100268152",3,0,0,0
"LOC100233130",21,47,6,1
"LOC100254148",0,2,1,6
"LOC109121461",0,0,0,0
"LOC100262999",0,0,0,0
"LOC100249044",6970,7261,4231,4230
"SOS1",1909,2125,1825,1779
"LOC109122552",7,4,8,8
"LOC100257576",1474,1402,1062,998
"LOC100247334",15,45,2,1
"LOC100242197",435,590,294,222
"LOC100264479",247,317,27,24
