"","Row.names","AF_A","AF_B","CO_A","CO_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2298","LOC100259084",217.087940962264,206.448995546021,27.5442457265398,23.089835817456,118.54275451307,-3.06406193723054,0.418934155552926,-7.31394634840998,2.59408753050251e-13,4.66482459813954e-12
"2299","LOC100259092",6390.74868824566,9134.33166237155,1261.29691889447,1139.48339759145,4481.46516677578,-2.69305280359139,0.245013469836716,-10.9914479615595,4.20131235028492e-28,2.14712667292213e-26
"2300","LOC100259095",57.8308039448653,52.2340832104391,9.18141524217993,4.6179671634912,30.9660673902439,-2.99481731282609,0.764071550359522,-3.91955087375904,8.87141341763771e-05,0.000422928616077738
"2301","LOC100259123",18228.2694034215,19913.622389656,7977.50216854908,9011.96291955307,13782.8392202949,-1.1667431974811,0.194262172305624,-6.00602363102128,1.90128492427999e-09,2.19170522839608e-08
"2302","LOC100259124",3557.92899962333,4518.66275391894,1454.10663898025,1009.02582522283,2634.93105443634,-1.71326973157096,0.261869460732874,-6.54245717227266,6.05161693159656e-11,8.5844992062247e-10
"2303","LOC100259127",88.0807629314102,75.4492313039676,32.1349533476297,27.7078029809472,55.8431876409887,-1.44985969148723,0.517200151796503,-2.8032855103602,0.0050584866685698,0.0146544002784927
"2304","LOC100259131",271.35992620283,305.113374943517,107.881629095614,107.36773655117,197.930666698283,-1.42144383801283,0.315673089744052,-4.50289835970922,6.70329471772237e-06,4.18078766967588e-05
"2305","LOC100259136",16.9043888454222,19.8986983658816,3.44303071581747,0,10.0615294817803,-3.41615844800155,1.43494618029191,-2.3806875093438,0.0172803639215509,0.0416731400920231
"2306","LOC100259144",1824.78429062952,2011.42675981786,416.606716613914,353.274488007077,1151.52306376709,-2.31698085901512,0.226383995084843,-10.2347379201731,1.38569851137542e-24,5.79893055407383e-23
"2307","LOC100259149",167.264479102072,235.467930662932,97.5525369481617,102.749769387679,150.758679025211,-1.00825876971081,0.367859898638883,-2.74087709326694,0.00612754237788618,0.0172460914265717
"2308","LOC100259155",752.690155959324,802.580834090557,230.683057959771,241.288784292415,506.810708075517,-1.72047571474176,0.244038808083651,-7.05000867793135,1.7890663328109e-12,2.95868968406419e-11
"2309","LOC100259162",1529.40233817267,2262.64782668712,556.623299057158,507.976387984032,1214.16246297524,-1.8327880228623,0.266898138281991,-6.86699440715422,6.55686395062282e-12,1.03736827283089e-10
"2310","LOC100259171",508.02137003874,788.485922748057,337.417010150112,214.735473102341,462.164944009813,-1.2316874923475,0.342879327499375,-3.592189419322,0.000327911353348195,0.00134078256091803
"2311","LOC100259200",82.7425348749611,72.1327815763207,25.2488919159948,26.5533111900744,51.6693798893378,-1.57973105902788,0.534602311853747,-2.95496488511268,0.00312704640171801,0.00971276314102014
"2312","LOC100259205",112.992493861506,179.917397724846,48.2024300214446,40.407212680548,95.3798835720862,-1.72557876284313,0.459358391627051,-3.75649774619576,0.000172307822521032,0.000760438421418357
"2313","LOC100259216",221.536464342638,199.816096090727,71.1559681268944,73.8874746158592,141.59900079403,-1.53836550449207,0.35484855234201,-4.33527344084912,1.45579044139791e-05,8.41222450057393e-05
"2314","LOC100259220",344.315709640967,591.986276384977,57.3838452636246,23.089835817456,254.193916776756,-3.54021170678405,0.462899711824431,-7.64790216185485,2.04284544384818e-14,4.11843462588804e-13
"2315","LOC100259224",130.786587383003,171.626273405729,44.7593993056271,26.5533111900744,93.4313928211083,-2.08441261044391,0.470282686047577,-4.43225462532344,9.3252799243738e-06,5.64352679732218e-05
"2316","LOC100259225",34.6984823669192,37.310059436028,9.18141524217993,5.772458954364,21.7406039998728,-2.26743361999782,0.832588030543546,-2.72335601379899,0.00646223778231137,0.0180089935243143
"2317","LOC100259227",53.3822805644911,102.809941557055,4.59070762108996,1.1544917908728,40.4843553833772,-4.76395704130794,0.914962688999472,-5.20672274245129,1.92204944410604e-07,1.62552108384612e-06
"2318","LOC100259228",866.572354496905,1390.42154831598,368.40428659247,225.125899220196,712.631022156386,-1.92710419227179,0.341149950870138,-5.64884792554274,1.61526664343326e-08,1.62315298745357e-07
"2319","LOC100259229",117.44101724188,124.36686478676,17.2151535790874,36.9437373079296,73.9916932289143,-2.15911751206988,0.526685064409944,-4.09944700917005,4.14138475745129e-05,0.000215048052542883
"2320","LOC100259232",86.3013535792605,79.5947934635263,0,0,41.4740367606967,-8.61369602823055,1.55610475022316,-5.53542171694758,3.10480386992284e-08,3.00011778126561e-07
"2321","LOC100259241",435.065586600602,610.226749887035,16.0674766738149,9.2359343269824,267.648936872109,-5.36795679855126,0.449951465117877,-11.9300796079083,8.24945664454652e-33,5.69413714733333e-31
"2322","LOC100259265",604.999179730899,868.909828643495,206.581842949048,173.17376863092,463.416154988591,-1.95671624393923,0.298611526267723,-6.55271505556326,5.65002648060021e-11,8.02488077294786e-10
"2323","LOC100259282",412.822969698731,514.878820217186,35.5779840634472,65.8060320797496,257.271451514778,-3.19437917277657,0.376058082323407,-8.49437712664137,1.98997187597584e-17,5.17255605879369e-16
"2324","LOC100259283",5157.61800720591,7184.25922251516,848.133232996371,543.765633501089,3433.44402405463,-3.14842648947585,0.287888960999878,-10.9362529168917,7.73303154701275e-28,3.89057409387486e-26
"2325","LOC100259284",604.999179730899,734.593614673795,358.075194445017,305.940324581292,500.902078357751,-1.01267006306396,0.261258574586428,-3.87612182554013,0.000106134559508789,0.00049615660278319
"2326","LOC100259289",191.286505356093,215.56923229705,36.7256609687197,15.0083932813464,114.647447975802,-2.97487320900885,0.48806270053476,-6.09526850904473,1.09253909488846e-09,1.30942748058627e-08
"2327","LOC100259291",1293.63059901283,1395.39622290745,361.518225160835,382.136782778897,858.170457465003,-1.8544474247025,0.22278265275412,-8.32402075196231,8.5028711195975e-17,2.07888771217805e-15
"2328","LOC100259303",751.800451283249,867.251603779672,362.665902066107,314.021767117402,573.934931061607,-1.25868824039587,0.248468000530412,-5.06579614964063,4.06696956446175e-07,3.22621551995144e-06
"2329","LOC100259312",97.8675143682336,128.512426946318,6.88606143163495,12.6994096996008,61.491353111447,-3.5319627265429,0.605997265181628,-5.82834763368827,5.59788737783578e-09,6.03218325722047e-08
"2330","LOC100259322",152.1394996088,117.733965331466,29.8395995370848,25.3988193992016,81.277970969138,-2.28795872825421,0.471146136827809,-4.85615512770382,1.19686950336194e-06,8.68497613978021e-06
"2331","LOC100259324",2423.55553762789,2785.81777122342,1373.76925561117,901.658088671657,1871.20016328354,-1.19498036858695,0.266249668489837,-4.48819476608122,7.1829245973209e-06,4.46149280887092e-05
"2332","LOC100259335",74.7351927902875,114.417515603819,14.9197997685424,10.3904261178552,53.615733570126,-2.90214690054964,0.608493680883461,-4.76939529813369,1.8477975166204e-06,1.29477362353098e-05
"2333","LOC100259339",3147.77514395282,3847.91079650235,1275.06904175774,1467.35906619933,2434.52851210306,-1.3510757013597,0.221376909793637,-6.1030561074285,1.04059292210418e-09,1.25313956151269e-08
"2334","LOC100259341",8.00734208467366,9.12023675102906,0,0,4.28189470892568,-5.33814018737657,2.2752633078125,-2.34616370292052,0.0189677745668477,0.0450892919144721
"2335","LOC100259346",98.7572190443085,103.639053988967,39.0210147792647,47.3341634257848,72.1878628095811,-1.22903932464794,0.459350535580634,-2.67560224588481,0.0074595115878872,0.0203723567289911
"2336","LOC100259349",2765.20213324064,3022.94392675018,337.417010150112,166.246817885683,1572.95247200665,-3.52245651975341,0.326195490703766,-10.7986058058427,3.49469590842368e-27,1.71255228066476e-25
"2337","LOC100259359",122.779245298329,148.4111253122,22.9535381054498,33.4802619353112,81.9060426628226,-2.26526592145485,0.475079935613173,-4.76817847196837,1.85899067054014e-06,1.30181097374045e-05
"2338","LOC100259363",6955.71115755319,7672.60644491117,1930.39255466833,2531.80049738405,4772.62766362918,-1.71296299377004,0.224381769707534,-7.63414512686464,2.27323730124022e-14,4.55714688339419e-13
"2339","LOC100259368",203.742370821141,304.284262511606,104.438598379797,124.685113414262,184.287586281701,-1.14939949710037,0.363437971541463,-3.16257404867571,0.00156380958911223,0.00531761025796049
"2340","LOC100259389",7737.76156782298,9461.83107297669,750.580696048209,464.105699930866,4603.56975919469,-3.82368146997131,0.277150907495049,-13.7963880563502,2.67945296282973e-43,2.95916171114464e-41
"2341","LOC100259394",837.212100186435,1191.43456465716,363.81357897138,319.794226071766,678.063617471685,-1.56946482557444,0.275949231997648,-5.68751293204473,1.28902844593399e-08,1.31339352006956e-07
"2342","LOC100259396",22.2426169018713,26.5315978211754,4.59070762108996,1.1544917908728,13.6298535337524,-3.08478201270382,1.15025126402767,-2.68183318651811,0.00732199604901003,0.0200374701498353
