"","Row.names","A1_A","A1_B","F1_A","F1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"539","LOC100243491",68.5190917747786,99.3431931553875,1.98725244330728,10.9300016765648,45.1948847625095,-3.69990203524174,0.833186361007256,-4.44066562823814,8.96810495737368e-06,5.91871388853441e-05
"540","LOC100243498",3317.71428434109,2694.18739837411,10907.035035092,10424.2406898947,6835.79435192547,1.82707678293667,0.236972163743668,7.71009030796127,1.25728737674214e-14,3.14181277894967e-13
"541","LOC100243506",23741.368784803,12347.3654772831,116460.94218758,122447.81514604,68749.3728989264,2.72683963432235,0.321290312617346,8.48715173547728,2.11763193346153e-17,6.76163237674795e-16
"542","LOC100243511",631.567280706655,917.93110475578,1552.04415822299,1614.65933858344,1179.05047056722,1.03118260115304,0.285217521653259,3.61542515051602,0.000299855105997867,0.00136799555269813
"543","LOC100243514",330.679095086975,547.380994286185,16.8916457681119,20.8663668370783,228.954525494588,-4.53946147267939,0.459163367294726,-9.8863755168988,4.76985518060338e-23,2.47933867733896e-21
"544","LOC100243519",160372.409904974,60897.3774042525,220841.376772295,231717.02917969,168457.048315303,1.03229860895658,0.388150711877757,2.65953037664837,0.00782496734605177,0.0230396725897508
"545","LOC100243526",60.5748492501666,107.290648607818,241.451171861835,253.377311593093,165.673495328228,1.55963339465475,0.432091441712267,3.60949846281223,0.000306789591765686,0.00139655565240067
"546","LOC100243529",149.947577652052,220.54188880496,1500.375594697,1479.52477240045,837.597458388616,3.0077663679055,0.298083864350764,10.0903360685306,6.09604523464682e-24,3.43495927003237e-22
"547","LOC100243532",879.82485960078,1227.88186740059,295.106987831132,474.958254672544,719.442992376261,-1.45262006428688,0.339785253874596,-4.27511214133794,1.9104111133998e-05,0.000117342992235574
"548","LOC100243536",1445.85213947939,2007.72593367038,169.910083902773,183.822755469499,951.82772813051,-3.28735839583984,0.293578825200178,-11.197532361533,4.19249098407348e-29,3.4422917810458e-27
"549","LOC100243543",61.5678795657431,149.014789733081,16.8916457681119,27.8218224494377,63.8240343790935,-2.23559755031099,0.670595928193328,-3.33374757632957,0.000856843791648869,0.00342737516659548
"550","LOC100243551",22.8396972582595,32.7832537412779,1.98725244330728,0.993636516051346,14.650959989724,-4.2218506759608,1.33299372254137,-3.16719471710023,0.00153917221053261,0.00573526760510279
"551","LOC100243552",1290.93941024945,853.358029204778,502.774868156743,439.187340094695,771.564911926417,-1.18676455187184,0.309769595531872,-3.8311201905861,0.000127561169932129,0.000642629725608491
"552","LOC100243553",2962.2094313647,3372.7014076254,10153.8663590786,8710.2176997061,6299.74872444369,1.57424629306701,0.235658481164251,6.68020215223987,2.38612871964259e-11,4.0955089867176e-10
