"","A1_A","A1_B","F1_A","F1_B"
"LOC100853084",488.570915263639,294.055851739947,78.4964715106377,97.3763785730319
"LOC100254211",1773.55214361963,1518.95742334587,2092.57682280257,2020.06303713239
"LOC100244013",154.912729229934,174.844019953482,88.4327337271741,93.4018325088266
"LOC100243945",1825.18972002961,2042.49605127477,1471.56043426904,1547.09205549195
"LOC100261141",1362.43759297096,1331.19878828219,1704.068970136,1864.06210411233
"LOC100256055",69.5121220903551,78.4811225927561,76.5092190673304,64.5863735433375
"LOC100249104",33.763030729601,70.5336671403251,2.98087866496093,0.993636516051346
"LOC100266271",7935.30525177182,3777.02820376783,3242.20236125583,2394.66400368374
"LOC100261061",4555.03005754941,8100.44396989029,2711.60595889279,2212.82852124635
"LOC100250913",577.943643665524,850.377733410117,703.487364930778,640.895552853118
"LOC100245765",25.818788204989,39.737277262155,26.8279079846483,4.96818258025673
"LOC100262937",909.615769068075,1147.41388094472,907.180740369775,1067.16561823915
"LOC109122923",235.348184791631,106.297216676265,111.286136825208,130.166383602726
"LOC100257811",179.738487119347,278.160940835085,168.916457681119,129.172747086675
"LOC100252667",32.7700004140246,48.6781646461398,35.7705439795311,19.8727303210269
"LOC100264718",822.229101297343,910.977081234903,1119.81675180365,1005.56015424396
"LOC109122935",1370.38183549557,1084.82766925683,1521.24174535173,1432.82385614604
"LOC100245694",916.566981277111,1062.97216676265,1620.60436751709,1742.83844915406
"LOC100259545",1618.6394143897,1660.02475762652,2020.04210862185,2353.92490652564
"LOC100249028",124.128789447063,148.021357801527,301.068745161054,243.44094643258
"LOC100262861",7477.51827629106,5167.83290794326,1669.29205237812,1185.40836364926
"MIR398A",5.95818189345901,21.8555024941852,34.7769177578775,65.5800100593889
"LOC100252601",525.313036939969,282.1346685613,632.93990319337,538.55099169983
"LOC100247494",1706.02608216043,1612.34002491194,2315.14909645299,2382.74036549113
"LOC100266199",438.919399484814,383.464725579796,536.558159692967,427.263701902079
"LOC100260996",35.7490913607541,21.8555024941852,31.7960390929165,17.8854572889242
"LOC100255915",33.763030729601,55.632188167017,48.6876848610285,53.6563718667727
"LOC104879181",599.790310608207,654.671642894003,914.136123921351,1024.43924804894
"LOC100267935",93.3448496641911,180.804611542805,110.292510603554,165.937298180575
"LOC100262788",154.912729229934,195.706090516113,266.291827403176,242.447309916528
"LOC100242357",4033.68914187175,2751.80645040423,2822.892095718,2713.62132533623
"LOC100244008",19.86060631153,19.8686386310775,5.96175732992185,0.993636516051346
"LOC109123391",26.8118185205655,19.8686386310775,16.8916457681119,27.8218224494377
"LOC100261136",67.5260614592021,26.8226621519546,55.6430684126039,62.5991005112348
"LOC100256051",106.254243766686,159.942540980174,105.324379495286,203.695485790526
"LOC109123055",470.696369583262,524.532059860446,400.431367326418,437.200067062592
"LOC100252664",540.208491673617,795.738977174653,858.493055508747,917.126504315393
"LOC100247562",856.985162342521,920.911400550442,1223.15387885563,1023.44561153289
"LOC100853109",205.557275324336,235.443367778268,301.068745161054,365.658237906895
"LOC100264713",433.954247906931,329.819401275886,390.495105109881,438.193703578644
"LOC100264641",2075.43335955489,1058.99843903643,1197.31959709264,924.081959927752
"LOC100259539",89.3727284018851,167.889996432605,165.935579016158,136.128202699034
"LOC100259464",1433.93577569247,1596.44511400708,1727.91599945568,1514.30205046225
"LOC104877428",56.6027279878606,128.15271917045,55.6430684126039,80.4845578001591
"LOC100249022",53.6236370411311,113.251240197142,31.7960390929165,32.7900050296944
"LOC100254353",639.511523231267,781.830930132899,938.976779462692,817.762852710258
"LOC100243868",565.034249563029,466.913007830321,659.767811178018,587.239180986346
"LOC100249255",1486.56638241802,1164.30222378114,1521.24174535173,1202.30018442213
"LOC100266192",453.814854218461,476.84732714586,368.635328233501,350.753690166125
"LOC100260989",202.578184377606,241.403959367592,286.164351836249,164.943661664523
"LOC100244086",931.462436010758,838.45655023147,1047.28203762294,888.311045349904
"LOC100266425",1475.64304894668,2102.101967168,2907.35032455856,2654.00313437315
"LOC100261218",372.386368341188,301.009875260824,527.615523698084,480.920073768852
"LOC100256132",740.80061542007,393.399044895334,525.628271254777,468.002799060184
"LOC100250979",14.8954547336475,13.9080470417542,23.8470293196874,29.8090954815404
