"","A1_A","A1_B","AF_A","AF_B"
"LOC100258051",2192.88995903734,2085.62969078993,2554.33499768297,2085.71495948958
"LOC100252921",1578.39881666974,2201.05193065559,2495.11858712764,2098.76322439496
"LOC109122550",707.869698315626,392.435615543245,439.606573275104,443.641006782673
"LOC100254593",181.736759425714,219.804091570258,228.836298417177,204.757387745849
"LOC100247805",1541.24820838934,1042.81484539497,834.048087652081,1111.10994232674
"LOC100244329",1057.28623025015,1649.03252260243,1500.48362339333,1674.19275862783
"LOC100242671",1410.71904416093,1666.09494066953,1607.87609677333,1526.64699392861
"LOC104879247",227.924002152691,253.928927704453,176.645563690453,304.124943563688
"LOC100266660",909.687867622634,739.706006791232,752.750981635452,692.561752669784
"LOC100261454",10241.5190394601,15099.2363177304,12694.3925543003,13749.8600722078
"LOC100256370",10.0407049406472,20.0734330201149,7.02567582859755,8.02970148022938
"LOC100264956",313.269994148192,216.79307661724,272.99768933979,212.787089226079
"LOC100259548",763.093575489185,722.643588724135,454.661592907813,573.119943151372
"LOC100254429",161.655349544419,164.602150764942,187.685911421106,176.653432565046
"LOC100249318",40495.1670961241,24343.0522234933,26304.1303022692,19711.9134212781
"LOC100266507",4159.86405691012,2898.60372810458,3813.93830695296,2779.2804248444
"LOC100244161",1231.99449621741,1067.90663667011,1132.13747637972,995.682983548444
"LOC100261302",511.071881478941,708.592185610054,631.307156598266,727.691696645788
"LOC100256207",2131.64165889939,1864.82192756867,1971.20390390937,1895.00954933413
"LOC100854649",4214.08386358962,2358.62837986349,1774.48498070864,2416.94014554904
"LOC100251050",2370.6104364868,2298.40808080315,2409.80680920896,2295.49091066058
"LOC100245908",3659.83695086589,2141.83530324625,2169.93016306113,2254.3386905744
"LOC100240814",1018.12748098162,936.425650388358,711.60059463938,923.415670226379
"LOC100257883",772.130209935768,743.720693395255,587.145765675652,838.100091998942
"LOC100263079",12.0488459287766,16.0587464160919,16.058687608223,14.0519775904014
"LOC100252792",791.207549322997,1004.67532265675,1117.08245674701,1002.70897234364
"MAP3K",239.972848081467,289.057435489654,277.012361241846,367.358842720494
"LOC100252736",708.87376880969,395.446630496263,466.70560861398,614.272163237548
"LOC104879248",813.297100192421,1016.71938246882,1127.11913650215,837.096379313913
"LOC100242550",2288.27665597349,1806.60897181034,2278.32630441663,1675.19647131286
"LOC100242495",2138.67015235785,1525.58090952873,1470.37358412792,1574.82520280999
"LOC100264840",3137.72029395224,3254.90716421162,3890.21707309201,3080.394230353
