ID,A1_A,A1_B,AF_A,AF_B
LOC100256474,844.099886,694.1308009,1038.171475,666.3089175
LOC100261568,1559.749789,1169.601095,1133.329264,1088.654334
LOC100258216,9.174998761,8.374232183,16.17682409,15.73958073
LOC100266763,104.8571287,118.1697208,126.559859,138.1585419
LOC100263354,2461.521096,3165.459765,3943.338766,3120.80909
LOC100244444,157.285693,209.3558046,231.2334267,201.1168649
LOC100254717,2663.371069,4070.807311,3318.152094,3826.466959
LOC100241085,13990.5624,13173.59769,16807.72023,19764.54129
LOC100246202,1845.485465,1579.938472,1349.337444,1343.110889
LOC100251339,5345.092135,6417.453263,6557.323223,5594.546528
LOC100259829,507.2463601,613.1798898,609.009848,617.341333
LOC100265013,4605.849378,2491.79931,3055.516597,2524.453865
LOC109121832,132.382125,61.41103601,70.41676367,39.34895182
LOC100256486,3477.32453,2833.281889,3256.299531,3068.343821
LOC100261582,142.8678379,70.71573843,79.93254255,64.70716522
LOC100252990,1186.196268,1110.050999,1231.341786,1145.491709
LOC100258122,408.9428019,285.6543645,279.7638989,342.7730914
LOC100266776,496.7606472,484.7749964,386.3406223,612.0948061
LOC100263258,180.878547,268.9059001,289.2796778,213.358761
LOC100244461,179.5678329,112.5868993,146.5429947,209.8610764
LOC100249610,637.0070568,182.3721675,381.5827329,1163.854553
LOC100254732,252.967823,31.63598825,48.53047226,146.0283323
LOC100259841,225.4428267,105.1431374,99.91567818,180.1307572
LOC100246096,241.171396,481.0531154,458.6605418,379.4987798
LOC100265026,43.25356559,26.98363703,24.74102507,39.34895182
LOC100242737,474.4785074,351.7177517,379.6795771,380.3732009
