"","F1_A","F1_B","AF1_A","AF1_B"
"LOC100254883",28095.764466609,28060.5588155456,23295.7364403817,25698.4633606818
"LOC100249732",4252.23520795844,3791.0274056699,2591.28663651812,2352.94223946827
"LOC100244609",4590.18751527631,2444.54191820392,1683.78962879237,1475.1864315044
"LOC100261740",2779.16073900229,2403.79955290052,1723.54853384059,1604.41435340169
"LOC100853427",283.283551722336,195.762096701696,152.077811809464,66.6020828239858
"LOC100256635",222.650931880012,214.642705013027,284.276171094815,317.105439117186
"LOC100251506",17859.7854643752,15985.912942336,2919.29760316598,3216.78119430475
"LOC100246365",6360.4612191973,5748.64837268686,3111.13432002367,2031.8605566004
"LOC100266901",66.5964840891106,19.8743245382432,7.95178100964517,4.97030468835715
"LOC100241240",2594.28094735192,1977.4952915552,2379.57046713632,1929.47228002024
"LOC100251482",608.314153172175,889.376023086385,1233.52002912121,1260.46926896737
"LOC100241213",27.8313664850015,50.6795275725203,47.710686057871,57.6555343849429
"LOC100263508",1324.97184016096,1288.84994630507,1280.23674255287,1508.98450338523
"LOC100258366",1688.76755921491,1795.64522203028,1687.76551929719,1730.66009248596
"LOC100253210",840.90485879683,763.174062268541,1277.25482467426,1559.68161120647
"LOC100242956",12.9217058680364,0.993716226912162,64.608220703367,121.275434395914
"LOC100253231",505.934483602348,482.946086279311,816.051526114836,1012.94809548719
"LOC100248111",1187.80296248488,1065.26379524984,959.183584288449,887.696417340587
"LOC100265246",3479.91478799965,4007.65754313675,1971.0477177658,1725.6897877976
"LOC100242984",1292.17058680364,1394.18386635776,1379.63400517344,1487.11516275646
"LOC104880199",868.736225281831,759.199197360892,658.009878548138,687.890168868629
"LOC100260069",11290.5889965404,11941.4878988035,6962.77824657055,6946.49783244795
"LOC100260039",1507.8636770624,520.707302901973,5162.69382051213,6494.20010580745
"LOC100254947",1315.03206641632,1424.98906939204,2109.20991280838,1630.25993778114
"LOC100254974",1066.53772280023,1109.98102546089,1704.66305394268,2134.24883318056
"LOC100249828",2895.45609181462,2657.19719076312,1981.98141665406,1833.04836906612
"LOC100249804",146.114674046258,108.315068733426,93.4334268633308,145.132896900029
"LOC100244666",117.289330186792,148.063717809912,106.355071004004,165.014115653457
"LOC100244700",1148.04386750631,906.269198943892,776.29262106661,824.076517329615
"LOC100267015",538.735736959671,560.45595197846,984.03289994359,1485.12704088112
"LOC100261826",6300.82257672944,5643.31445263417,4364.53380166899,5677.08201504153
"LOC100266986",922.411003502906,1120.91190395692,1978.00552614924,2113.37355348946
"LOC100256554",527.801985840563,338.857233377047,422.4383661374,246.527112542515
"LOC100256701",278.313664850015,309.045746569683,670.931522688811,757.474434505629
"LOC100251577",82.5001220805401,88.4407441951825,196.806579988718,211.734979724014
"LOC100251409",1093.37511191077,1122.89933641074,1532.70578960911,2097.46857848672
"LOC100246271",933.344754622013,774.104940764575,679.877276324662,831.034943893315
"LOC100246433",7.9518189957147,8.94344604220946,54.6684944413106,47.7149250082286
"LOXO",575.512899814852,442.203720975912,12856.0419473438,15638.5666714469
"LOC100263428",1001.92919346005,908.256631397716,1999.87292392576,2505.033562932
"LOC100242867",228.614796126798,221.598718601412,312.107404628573,288.277671924715
"LOC100265158",2.98193212339301,0.993716226912162,85.4816458536856,100.400154704814
"LOC100258288",1197.74273622953,1182.52231002547,1140.08660225788,1197.84342989407
"LOC100253158",3957.02392774253,3824.81375738491,3753.24063655252,3425.53399121575
"LOC100248023",1433.31537397758,1257.05102704389,1064.54468266625,1267.42769553107
"LOC100242895",4648.83218036971,4053.36848957471,1884.57209928591,1303.21388928724
"LOC100261706",806.115650690578,1106.99987678015,270.360554327936,273.366757859643
"LOC100259980",114.307398063399,88.4407441951825,79.5178100964517,46.7208640705572
"LOC100254877",1.98795474892868,1.98743245382432,77.5298648440404,61.6317781356286
"LOC100247998",11721.9751770579,10624.8138981448,4936.06806173724,6061.78359792038
"LOC104880204",151.084560918579,154.026015171385,217.680005139037,369.790668813772
"LOC100259954",3711.51151624984,3855.61896041919,3202.57980163459,3684.98389594799
"LOC100249722",272.349800603229,131.170541952405,239.547402915561,335.992596932943
"LOC100249752",396.596972411271,544.556492347865,315.08932250719,360.844120374729
"LOC100244605",116.295352812328,160.98202875977,173.945209585988,212.729040661686
"LOC100248501",4091.21087329521,3919.21679894157,2462.07019511139,2229.67868319702
"LOC100267761",837.922926673437,1184.5097424793,1208.67071346607,1110.36606737899
"LOC100266924",1039.7003336897,987.753929550689,481.082751083533,625.264329795329
"LOC100246327",92.4398958251834,132.164258179318,102.379180499182,143.144775024686
"LOC100261737",25389.1640759426,22107.2049001149,22216.2821683224,22481.6821663771
"LOC100241207",567.561080819137,525.675884036534,591.41371259236,522.876053215172
"LOC100263481",11849.2042809894,10688.4117366672,5223.32615071067,4529.9356929687
"LOC100241236",2013.79816066475,1950.66495342857,1515.80825496361,1414.54871430644
"LOC104880205",769.338487835398,615.110344458629,590.419739966154,517.905748526815
"LOC100246362",6135.82233256836,7141.83852281771,1360.74852527553,1606.40247527703
"LOC100248075",2932.2332546698,2869.85246332233,2538.60608732922,2947.39068019579
"LOC100251503",1208.67648734863,1131.84278245295,1004.90632509391,1531.84790495167
"LOC100256634",180.90388215251,215.636421239939,954.213721157421,1395.66155649069
"LOC100265239",2666.84129568782,2985.12354564414,3229.41706254215,3438.45678340548
"LOC100260034",26.8373891105371,22.8554732189797,7.95178100964517,18.8871578157572
"LOC100254937",607.32017579771,592.254871239649,300.179733114105,360.844120374729
"LOC100249800",3079.34190609052,2937.42516675235,1276.26085204805,801.213115763172
"LOC100263503",2587.32310573067,2297.47191662092,2395.47402915561,2735.65570047177
"LOC100258363",4081.27109955057,4681.3971449832,1522.76606334705,1126.27104238173
"LOC100244657",2807.98608286175,3195.79138574951,2269.23950562749,2111.38543161412
"LOC100253227",15076.6488158751,13169.7211552669,13180.0770234869,16537.1977591019
"LOC100266977",982.049645970766,1092.09413337647,1061.56276478763,1374.78627679959
"LOC100248106",2545.57605600317,2588.63077110618,2133.06525583732,1684.93328935307
"LOC100242981",732.561324980217,816.834738521797,1179.8455073061,1276.37424397012
"LOC100265274",308.132986083945,353.76297678073,566.564396937218,795.248750137144
"LOC100246422",0,0,16.897534645496,46.7208640705572
"LOC100241298",6.95784162125037,7.9497298152973,147.107948678436,252.491478168543
"LOC100263563",16.8976153658937,5.96229736147297,92.4394542371251,76.5426922007001
"LOC100254971",518.856189470384,461.084329287243,448.281654418747,499.018590711058
"LOC100260064",54.6687555955386,42.729797757223,413.492612501549,777.355653259058
"LOC100249823",930.36282249862,1148.73595831046,1227.55619336397,1348.94069242013
"LOC100244694",8732.09123466921,8878.85448746017,8011.41936721751,7581.70277161999
"LOC100267009",1275.27297143775,1097.06271451103,865.750157425118,915.530123595387
"LOC100261822",21226.3868316859,25252.3167582919,18871.5642811404,16971.6023888643
"LOC100256549",727.591438107895,705.538521107635,978.069064186356,1098.43733612693
"LOC100251405",2909.37177505712,2697.93955606652,2296.07676653504,2413.57995666623
"LOC100246267",2542.59412387978,1982.46387268976,1510.83839183258,1478.16861431742
"LOC100852734",42.7410271019665,60.6166898416419,85.4816458536856,110.340764081529
"LOC100254842",342.922194190197,222.592434828324,214.69808726042,164.020054715786
"LOC100241147",22442.0211606558,17904.7789765033,7178.47030645718,6197.96994638136
"LOC100263424",1847.8039391292,1966.56441305917,1594.33209243386,1689.90359404143
"LOC100258284",888.615772771118,820.809603429446,500.962203607646,444.345239139129
"LOC104880208",22.8614796126798,21.8617569920676,143.132058173613,141.156653149343
"LOC100244572",1134.12818426381,1129.85534999913,1064.54468266625,836.005248581672
"LOC100266890",2134.06942297493,2400.81840421978,1714.60278020474,1424.48932368316
"LOC109123200",31.8072759828588,41.7360815303108,80.5117827226574,96.4239109541287
"LOC100244649",141.144787173936,169.92547480198,88.4635637323025,56.6614734472715
"LOC104880213",96.4158053230408,101.359055145041,43.7347955530484,54.6733515719286
"LOC104880212",97.4097826975051,61.6104060685541,173.945209585988,109.346703143857
"LOC100855049",2.98193212339301,0.993716226912162,11.9276715144678,22.8634015664429
"LOC100265139",54.6687555955386,83.4721630606216,61.6263028247501,58.6495953226143
"LOC100253153",8078.05412227167,7954.69839643186,5787.90260239548,4855.98768052493
"LOC100259945",550.663465453243,600.204601054946,903.521117220933,949.328195476215
"LOC100853480",855.814519413795,725.412845645879,353.85425492921,458.262092266529
"LOC100248020",3575.33661594822,3345.84253601325,2441.19676996107,2667.06549577245
"LOC100242891",704.729958495216,681.689331661743,848.852622779622,929.446976722787
"LOC100265181",322.048669326445,316.99547638498,2424.29923531557,2829.09742861289
"LOC100249711",6306.78644097622,6275.31797295031,3610.10857837891,3036.85616458622
"LOC100259978",7633.74623588611,6800.99385698684,7806.66100621915,7834.19424978854
"LOC100244563",1729.52063156795,1765.83373522291,2360.68498723841,2753.54879734986
"LOC100254873",4532.53682755738,5689.02539907213,6035.40178632069,5323.19632123051
"LOC100246317",352.86196793484,448.166018337385,262.408773318291,346.927267247329
"LOC100263472",362.801741679483,319.976625065716,1481.01921304641,2082.55766442164
"LOC104880217",192.831610646082,153.032298944473,118.282742518472,110.340764081529
"LOC100266920",880.663953775403,915.212644986102,1413.42907446443,1705.80856904417
"LOC104880218",16.8976153658937,5.96229736147297,63.6142480771614,83.5011187644001
"LOC100249749",2.98193212339301,5.96229736147297,31.8071240385807,16.8990359404143
"LOC100260024",1651.99039635973,1503.4926513181,1126.170985491,1059.66895955774
"LOC100254925",1119.21852364684,1073.21352506514,868.732075303735,967.221292354301
"LOC100251499",444.307886385559,435.247707387527,799.15399146934,878.749868901544
"LOC109123222",220.662977131083,163.963177440507,124.246578275706,177.936907843186
"LOC100253225",227.620818752333,230.542164643622,388.643296846408,467.208640705572
"CWINV",293.22332546698,212.655272559203,195.812607362512,236.5865031658
"LOC100261732",4718.41059658221,3500.86226741155,5132.87464172596,4509.0604132776
"LOC100241231",287.259461220194,284.202840896878,499.96823098144,508.959200087772
"LOC100266965",5281.99576790349,4400.17545276706,3499.77761687008,2928.50352238003
"LOC104880220",111.325465940006,99.3716226912162,46.7167134316654,106.364520330843
"LOC100853908",187.86172377376,276.253111081581,232.589594532121,250.5033562932
"LOC100256679",372.741515424127,402.455071899426,189.848771605278,177.936907843186
"LOC100258362",4076.30121267825,3497.88111873081,893.581390958876,884.714234527572
"LOC100263499",1004.91112558345,984.772780869953,1191.77317882057,1363.8516064852
"LOC100244602",2744.37153089604,2851.96557123791,4291.97379995598,4732.72412425368
"LOC100251553",9.93977374464338,5.96229736147297,46.7167134316654,54.6733515719286
"LOC100246410",131.205013429293,169.92547480198,134.186304537762,207.758735973329
"LOC100241282",21.8675022382154,17.8868920844189,242.529320794178,206.764675035657
"LOC100248102",1.98795474892868,10.9308784960338,101.385207872976,154.079445339072
"LOC100242977",139.156832425007,135.145406860054,59.6383575723388,83.5011187644001
"LOC100265267",2577.38333198603,2367.03205250477,1867.67456464041,1889.70984251339
"LOC100260060",992.983397089874,800.935278891203,593.401657844771,680.931742304929
"LOC104880221",24.8494343616084,9.93716226912162,10.9336988882621,12.9227921897286
"LOC100263548",2970.00439489944,2364.05090382403,2464.0581403638,2210.79152538126
"LOC100254966",1773.25563604438,1751.92170804614,2714.53924216762,2968.26595988689
"LOC100258409",682.862456257,856.583387598284,630.17864501438,480.131432895301
"LOC100249819",391.627085538949,410.404801714723,696.774810970158,857.874589210444
"LOC100244689",7660.58362499665,8747.68394550777,5468.83738938347,3087.55327240746
"LOC100267005",2492.89525515656,2563.78786543338,1947.19237473686,1880.76329407434
"LOC100253274",2353.73842273155,2541.92610844131,1513.8203097112,1206.78997833312
"LOC100261817",26443.7740702492,20828.2921160789,16449.2529910772,17578.9736217816
"LOC109123195",16.8976153658937,18.8806083113311,27.8312335337581,35.7861937561715
"LOC100242844",1448.22503459454,1407.10217730762,1071.50249104969,1103.40764081529
"LOC100256723",18123.1894686083,15016.0459048697,11164.3005375418,12352.2012115052
"LOC100265130",102.379669569827,85.459595514446,112.318906761238,73.5605093876858
"LOC100246263",190.843655897153,179.862637071101,96.4153447419477,105.370459393172
"LOC100251400",3398.40864329357,2945.37489656765,3511.70528838455,3651.18582406716
"LOC100241142",1822.9545047676,1358.41008218893,2597.25047227535,3658.14425063086
"LOC104880222",31.8072759828588,56.6418249339933,26.8372609075525,10.9346703143857
"LOC100266878",142.1387645484,154.026015171385,167.981373828754,298.218281301429
"LOC100261689",1073.49556442148,1105.01244432632,997.948516710469,778.349714196729
"LOC100256592",5449.97794418796,5450.53350461321,1259.36331740255,888.690478278258
"LOC100263418",527.801985840563,484.933518733135,363.793981191267,372.772851626786
"LOC100251455",94.4278505741121,117.258514775635,150.089866557053,259.449904732243
"LOC100258281",2443.19638643334,2521.05806767616,2621.10581530429,2151.14786912097
"LOC100241278",332.982420445553,230.542164643622,288.252061599637,294.242037550743
"LOC100253150",4237.32554734147,3413.41523944328,1897.49374342658,1869.82862375996
"LOC100233007",263.40400423305,219.611286147588,601.353438854416,203.782492222643
"LOC100248142",39.7590949785735,54.6543924801689,20.8734251503186,13.9168531274
"LOC100249701",605.332221048782,599.210884828034,712.678372989449,469.196762580915
"LOC100244634",12.9217058680364,3.97486490764865,8.94575363585082,15.9049750027429
"LOC100266958",0,6.95601358838514,14.9095893930847,25.8455843794572
"LOC104877427",131.205013429293,157.007163852122,612.287137742678,582.519709475458
"LOC100261771",21.8675022382154,10.9308784960338,326.023021395452,421.481837572686
"LOC100256670",19.8795474892868,8.94344604220946,16.897534645496,23.8574625041143
"LOC100265175",4623.9827460081,4546.25173812314,2849.71951933159,1627.27775496813
"LOC100258398",707.711890618609,629.022371635399,831.955088134126,963.245048603615
"LOC100259973",645.091316027355,557.474803297723,1949.18031998927,2434.45523635733
"LOC104880226",351.867990560376,354.756693007642,212.710142008008,177.936907843186
"LOC100248136",0,0,50.692603936488,42.7446203198715
