ID,F1_A,F1_B,AF1_A,AF1_B
LOC100264552,265.2911243,239.7085929,292.7965158,308.7680879
LOC100255979,53.39192439,78.90407849,82.29956121,80.70916447
LOC100266278,2879.826922,3819.356913,2952.496758,3025.482991
LOC104879930,8.342488185,18.97693027,11.07878709,16.2899231
LOC100242269,3557.236962,3526.712673,1523.333224,1046.257334
LOC100247401,10126.11216,9600.329145,6221.53029,5899.173517
LOC100252511,4191.266064,3031.314914,1806.633637,2145.086692
LOC100257643,664.0620595,730.1124225,613.2899994,664.925043
LOC100243948,103.4468535,104.8725094,201.7921933,307.2871858
LOC100262768,1201.318299,1605.048787,2146.910669,2675.249644
LOC100249111,1593.415243,1837.765879,1284.34796,979.6167393
LOC100267912,1498.310878,1815.792591,1931.665663,1783.74658
LOC100245595,685.7525288,915.886582,5853.556291,8963.159962
LOC100250729,1933.788761,1534.134994,976.5159474,789.3208195
LOC100233061,2167.378431,2006.56068,2217.340101,2735.226179
LOC100260977,4811.947185,3918.236708,697.9635864,724.161127
LOC100266179,1456.598437,1382.319552,999.4648635,898.1671238
TMT3,0.0,0.0,34.81904513,31.83939516
LOC100249301,138.4853039,183.7765879,492.2146834,603.4676059
LOC100254404,3682.374285,3905.252492,3132.131377,3453.463698
LOC100259527,602.327647,459.4414697,887.8856507,835.2287846
LOC100264698,35.03845038,47.94171858,108.4138451,130.3193848
LOC100247356,43.38093856,24.96964509,128.9887354,191.0363709
LOC100242414,248.6061479,323.6066004,779.4718057,873.7322392
LOC100247550,8123.914995,8246.974381,4936.390989,3704.476604
LOC104879934,8.342488185,3.995143215,33.23636126,31.83939516
LOC100257796,2177.389416,2084.465972,6536.48438,7207.550522
LOC100267875,11.67948346,6.991500626,21.36623224,22.2135315
LOC100245853,819.2323398,712.134278,651.2744122,721.9397739
LOC100262918,1097.871445,1549.116782,1027.161831,958.1436589
LOC100250992,145.1592944,118.8555106,98.1263999,115.5103638
LOC104879935,400.4394329,519.3686179,753.3575218,546.452875
LOC100256147,782.5253918,623.2423415,1061.980876,817.4579594
LOC100254367,1391.527029,1467.216346,1566.857031,2033.278584
LOC100268071,1591.746746,1623.026931,1501.17565,1204.713859
LOC100245748,6074.999897,5047.863452,2855.1617,2663.402427
LOC100242368,342.0420156,305.6284559,125.8233676,139.2047974
LOC104879936,156.8387779,168.7948008,208.9142708,182.1509583
LOC100853376,168.5182613,242.7049503,88.63029668,118.472168
LOC100250895,1444.918954,1298.421545,1232.910734,1674.900275
UVR1,3063.361662,3099.232349,2802.141791,3001.048106
LOC100266285,540.5932344,534.350405,568.974851,442.0492769
