"","CO_A","CO_B","A1_A","A1_B"
"LOC100240959",434.51616004965,365.586094369491,3767.83916364354,3270.36549747476
"LOC100242690",4380.95698210242,4211.19416856596,898.240138168187,1174.66595271219
"LOC100853146",28.8351685158806,22.8491308980932,0.993628471424985,10.941003793255
"LOC100852423",1626.70123075796,2362.40144676807,1457.65296758045,1010.55089581337
"LOC100855401",33.8067492944808,42.717940374696,36.7642534427245,50.7264721323639
"LOC100852457",863.066423164979,815.614629014544,331.871909455945,504.280811198206
"LOC100854782",2.98294846716007,0,4.96814235712493,35.8069215051981
"LOC100248179",169.033746472404,209.615939978159,206.674722056397,160.136510064914
"LOC100852791",35.7953816059208,34.7704165840549,31.7961110855995,51.7211088408417
"LOC100243298",75.5680278347217,45.6982617961864,80.4839061854238,86.533393637562
"LOC100248422",2778.11933908174,3297.22893264223,3932.78148990009,2672.58883567964
"LOC100853717",48.7214916302811,92.3899640662029,177.859496385072,48.7371987154085
"LOC100853752",1083.80460973482,1385.84946099304,451.107326026943,364.037035302847
"LOC100852908",111.363409440642,64.573630798959,15.8980555427998,68.629932884963
"LOC100853510",25.8522200487206,14.9016071074521,3.97451388569994,9.94636708477724
"LOC100854298",777.555233773057,867.273533653711,916.125450653836,821.5699212026
"LOC100243794",85.5111893919219,49.6720236915069,53.6559374569492,49.7318354238862
"LOC100855020",171.022378783844,121.199737807277,130.165329756673,166.10433031578
"LOC100853415",6.96021309004016,1.98688094766028,23.8470833141996,107.420764515594
"LOC100260091",163.067849538084,194.714332870707,216.611006770647,115.377858183416
"LOC100255165",203.834811922605,187.760249553896,35.7706249712995,176.050697400557
"LOC104878617",73.5793955232816,51.6589046391672,36.7642534427245,63.6567493425744
"LOC104878636",64.6305501218014,40.7310594270357,183.821267213622,186.991701193812
"LOC100252226",144.175842579403,116.232535438126,103.337361028198,249.653813827909
"LOC100249614",2178.54669718257,3320.07806354032,1505.34713420885,707.186699727662
"LOC100253000",15.9090584915204,7.94752379064111,201.706579699272,269.546547997463
"LOC104878687",4.97158077860011,3.97376189532056,4.96814235712493,38.7908316306312
"LOC100854149",1818.60424881192,1693.81600788039,1798.46753327922,1542.68153484895
"LOC100852760",105.397512506322,164.911118655803,48.6877950998243,38.7908316306312
"LOC100854659",79.5452924576018,52.6523451129974,29.8088541427496,53.7103822577971
"LOC104878648",163.067849538084,273.196130303288,953.883332567986,368.015582136758
"LOC104878662",196.874598832564,481.818629807617,347.769964998745,129.302772102104
"LOC100854216",4122.43478161521,5234.437856611,1907.76666513597,2624.84627367271
"LOC100266307",1596.87174608636,1175.24008054105,1920.6838352645,3430.50200753967
"LOC109121388",520.027349441572,788.79173622113,611.081509926366,406.806413767389
"LOC100267695",445.45363776257,314.920630204154,584.253541197891,715.143793395484
"LOC104878727",109.374777129202,41.7244999008658,1.98725694284997,64.6513860510521
"LOC100255536",487.214916302811,312.933749256494,397.451388569994,897.162311046907
"LOC100853888",25.8522200487206,2.98032142149042,4.96814235712493,38.7908316306312
"LOC100853546",31.8181169830407,20.8622499504329,38.7515103855744,17.903460752599
"LOC100854135",343.039073723408,178.819285289425,80.4839061854238,517.211088408417
"LOC100855220",274.431258978726,310.946868308833,334.85279487022,182.018517651424
"LOC100256763",85.5111893919219,73.5145950634303,70.547621471174,87.5280303460397
"LOC100251639",876.98684934506,868.266974127541,1042.31626652481,1033.42754010836
"LOC100246238",200.851863455444,129.147261597918,190.776666513597,195.943431570112
"LOC109122083",30.8238008273207,12.9147261597918,8.94265624282487,53.7103822577971
"LOC100855391",58.6646531874813,53.6457855868275,171.897725556522,114.383221474938
"LOC100263390",796.447240731738,448.041653697393,1599.74183899423,2205.10958269511
"LOC100253928",285.368736691646,388.435225267584,230.521805370597,321.267656838305
"LOC100266813",679.117934356775,635.801903251289,363.668020541545,391.886863140223
"LOC100852480",337.073176789088,285.11741598925,412.355815641369,604.739118754456
"LOC100261530",850.140313140619,973.571664353536,811.794461154213,662.428047846164
"LOC104878269",112.357725596363,133.121023493239,27.8215971998996,269.546547997463
"LOC100251159",44.744227007401,15.8950475812822,27.8215971998996,78.5762999697402
"LOC100256311",1269.74173085447,1479.23286553308,969.781388110786,1076.1969185729
"LOC109122084",1142.46926292231,1433.53460373689,924.074478425236,838.478745246722
"LOC100852639",15.9090584915204,32.7835356363946,9.93628471424985,11.9356405017327
"LOC104878325",2.98294846716007,17.8819285289425,6.9553992999749,17.903460752599
"LOC100260021",32.8124331387607,13.9081666336219,8.94265624282487,8.95173037629952
"LOC100855179",7.95452924576018,22.8491308980932,93.4010763139486,50.7264721323639
"LOC100264312",3514.90761047028,3853.55559798711,1736.86256805087,3163.93936966764
"LOC100242027",5024.27953485327,5353.65071347062,4171.25232304209,4596.21622987556
"LOC100252286",3586.49837368212,4087.01410933719,1819.33373117915,2426.91356868565
"LOC100247168",755.680278347217,696.401772154927,1649.42326256548,1663.03257657476
"LOC100250649",289.346001314526,271.209249355628,286.164999770396,261.589454329642
"LOC104878268",1009.23089805582,893.102985973295,103.337361028198,212.852255614233
"LOC100252422",8941.88518839016,12295.8127445956,2864.63088311823,3406.63072653621
"LOC104878266",38.7783300730809,21.8556904242631,49.6814235712493,68.629932884963
"LOC109122082",4621.58149178666,4875.80584555832,4233.85091674186,2781.99887361219
"LOC100241946",855.111893919219,696.401772154927,615.056023812066,800.682550324568
"LOC109122081",9.94316155720022,0.993440473830139,64.585850642624,30.8337379628095
"LOC100260243",4.97158077860011,8.94096426447125,58.6240798140741,21.8820075865099
"LOC100248552",60.6532854989214,45.6982617961864,67.566736056899,56.6942923832303
"LOC100246035",1031.10585348166,986.486390513328,938.978905496611,1140.84830462395
"LOC100266551",3312.06711470339,2646.52542228349,2018.05942546415,2278.71269912247
"LOC100240942",86.5055055476419,113.252214016636,113.273645742448,110.404674641027
"LOC100263200",524.004614064452,414.264677587168,170.904097085097,449.575792231931
"LOC100258060",663.208875865255,830.516236121996,1149.62814143871,1278.10817039388
"LOC100252929",510.084187884371,456.982617961864,268.279687284746,358.069215051981
"LOC100247818",457.38543163121,528.510332077634,185.808524156472,218.820075865099
"LOC100264735",3386.6408263824,4318.48573973961,1655.38503339403,2390.11201047197
"LOC100853812",112.357725596363,103.317809278334,162.955069313698,167.098967024258
"MIR167D",897.86748861518,859.32600986307,769.068436882939,870.307119918009
