"","Row.names","CO_A","CO_B","A1_A","A1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4004","LOC100264465",31.8181169830407,38.7441784793754,192.763923456447,158.147236647958,105.368363891705,-2.31412515232798,0.491296270573621,-4.71024367766131,2.47420792318876e-06,1.94031002374484e-05
"4005","LOC100264477",42539.8280901697,43069.6183024318,8024.54353522818,9818.05894938362,25863.0122193033,2.26244448473506,0.239466217320229,9.44786496422406,3.45812091301656e-21,1.47776056812593e-19
"4006","LOC100264479",28.8351685158806,24.8360118457535,282.190485884696,253.63236066182,147.373506727037,-3.31955232737922,0.451129991073677,-7.35830557281012,1.86259290560749e-13,4.0835324897938e-12
"4007","LOC100264480",247.584722774286,183.786487658576,443.158298255543,429.683058062377,326.053141687695,-1.0167969700784,0.341800269292038,-2.97482787882076,0.00293152983795267,0.0102900919292113
"4008","LOC100264482",671.163405111015,382.474582424603,1635.51246396553,2336.40162821417,1256.38801992883,-1.91445854667962,0.353887331430009,-5.40979678177107,6.30963063948249e-08,6.63531021889269e-07
"4009","LOC100264493",132.244048710763,154.976713917502,400.432273984269,392.881499848701,270.133634115309,-1.46572534344191,0.345015280003336,-4.24829110011515,2.15407379084546e-05,0.00013667086618859
"4010","LOC100264496",185.937121119644,196.701213818367,420.304843412769,397.85468339109,300.199465435468,-1.09639940070412,0.329177564515991,-3.33072335083413,0.000866206421410383,0.0035890270172242
"4011","LOC100264509",503.123974794331,657.657593675552,199.719322756422,139.249139186881,374.937507603297,1.77586423920371,0.358099738878742,4.95913301909737,7.08084724632642e-07,6.11017525093139e-06
"4012","LOC100264511",124.289519465003,69.5408331681097,349.757221941595,594.792751669679,284.595081561097,-2.28484553572503,0.444400472478792,-5.14141113077701,2.72682626065849e-07,2.55457899105814e-06
"4013","LOC100264512",11.9317938686403,2.98032142149042,932.023506196636,961.813697097959,477.187329646182,-6.9889502378367,0.50557826846498,-13.8236761225049,1.83456578494541e-43,3.3336208903017e-41
"4014","LOC100264526",4.97158077860011,0.993440473830139,241.451718556271,238.712810034654,121.532387460839,-6.33117627616468,0.7538537790531,-8.39841419129998,4.52548477983864e-17,1.40862697545286e-15
"4015","LOC100264528",323.152750609007,256.307642248176,997.602985310685,678.342235181808,563.851403337419,-1.53219996592666,0.336299772976298,-4.55605411911668,5.21235120957591e-06,3.80090831153818e-05
