ID,CO_A,CO_B,AF_A,AF_B
LOC100267259,21.77142369,24.17122814,25.01769414,28.27596414
LOC104881588,64.16840666,63.30559751,92.92286396,96.47093648
LOC100253496,168.4420675,181.8597165,1898.664288,2321.955644
LOC100258640,626.7878293,481.1225411,1303.600563,1608.403372
LOC100263787,165.0044743,89.77884738,306.4667532,406.674896
LOC100265546,499.5968804,439.68615,721.0456847,643.6940072
LOC100257098,1286.805726,1386.968091,1598.451958,1622.541354
LOC104881548,8.021050832,9.208086911,22.33722691,9.979752049
LOC100241519,2469.337792,3123.843485,1062.358512,726.8586076
LOC100255257,3459.364638,3477.20382,2639.366732,2390.150616
LOC104881591,108.8571184,97.83592343,216.2243565,244.5039252
LOC100246645,4709.502703,7090.226922,4678.308805,1141.849964
LOC100243237,415.9487789,435.0821066,2944.046507,3930.359015
LOC100248367,74.4811863,46.04043456,27.69816137,46.57217623
LOC100251783,46.98044059,19.56718469,206.3959767,449.9204882
LOC100251978,684.0810496,659.529225,971.2226262,817.508022
LOC104881551,81.35637273,101.288956,102.7512438,90.64941445
LOC100267400,1014.089998,1007.134506,931.9091068,768.4409078
LOC100253581,52.70976261,77.11772788,55.39632274,40.7506542
LOC100245087,386.1563044,425.8740196,213.5438893,292.7393935
LOC100250218,1282.222269,1254.601842,1629.724076,1647.490734
LOC100255386,9.166915237,11.51010864,31.27211768,34.92913217
LOC100257002,12.60450845,14.96314123,13.40233615,8.316460041
LOC100244967,2596.528741,2413.669782,2560.739693,2553.153233
LOC100265562,374.6976603,369.4744873,255.5378759,300.2242075
LOC100263780,560.3276939,512.1998344,482.4841013,580.4889109
LOC100260463,539.7021346,568.5993668,441.3836038,305.2140835
LOC100265683,8054.2809,9505.047714,5092.887736,4215.613595
LOC100243360,1377.329014,1237.336679,1274.115423,1236.657608
LOC100248486,129.4826777,159.9905101,215.3308674,297.7292695
LOC104881555,0.0,0.0,47.35492106,31.60254816
LOC100253584,9.166915237,5.75505432,464.6143198,643.6940072
LOC104881595,16.04210166,19.56718469,800.5662126,1076.149929
LOC100852994,524.8058973,428.1760414,479.8036341,479.8597444
LOC104881556,323.1337621,401.7027915,285.0230154,221.2178371
LOC109123957,121.4616269,58.70155406,150.9996539,94.80764447
LOC100258737,1848.279285,1720.761242,676.3712309,610.428167
LOC100263898,14908.84177,19872.20257,9493.321438,5613.610528
LOC100241624,1725.671793,1914.131067,1671.718062,1931.082022
LOC109123807,5.729322023,18.41617382,34.84607398,25.78102613
LOC100246750,7073.42097,6849.665651,6070.364786,5514.644653
LOC100257012,4220.218602,4593.684358,4006.405019,3796.464009
LOC100258732,25.2090169,47.19144542,179.5913044,167.9924928
LOC100852545,106.5653896,80.57076047,68.79865889,99.79752049
LOC100256531,559.1818295,376.3805525,1915.64058,1956.863048
LOC100261629,795.2298968,705.5696596,968.5421589,1122.722106
LOC100251383,17.18796607,4.604043456,39.31351937,44.07723822
LOC100266816,527.0976261,505.2937693,325.2300239,356.7761358
LOC100244498,1222.63732,1403.082243,792.5248109,843.2890482
LOC100266821,2242.45664,3088.162148,1614.534761,1388.017181
LOC100232933,4804.609449,4825.037541,3610.589358,3080.416799
LOC100244503,602.7246768,687.1534858,466.4012979,448.2571962
LOC100249652,143.2330506,168.0475861,416.3659097,423.3078161
LOC109123855,4720.961347,6648.23875,5185.8106,3457.984085
LOC109123817,50.4180338,40.28538024,47.35492106,18.29621209
LOC100265124,16.04210166,17.26516296,7.147912612,27.44431814
LOC104881559,20.62555928,20.71819555,429.7682458,544.7281327
LOC100853927,123.7533557,195.6718469,82.20099504,108.1139805
LOC100267018,8120.741036,9066.512575,10753.14104,12834.79278
LOC100241275,498.451016,553.6362255,428.8747567,480.6913904
LOC100246403,1083.987727,1020.946636,1085.589228,852.4371542
LOC104881561,4.583457619,17.26516296,21.44373784,31.60254816
LOC100244639,466.3668127,372.9275199,633.4837552,504.8091245
LOC100249784,2941.433927,3204.414245,2332.899979,1954.36811
LOC100244704,61.87667785,67.90964097,151.893143,143.8747587
LOC100253189,13.75037286,4.604043456,33.95258491,30.77090215
LOC100853550,1043.882473,798.8015395,886.3411639,959.7194888
LOC100254978,50.4180338,47.19144542,115.2600909,106.4506885
LOC104881563,66.46013547,65.60761924,33.05909583,72.35320236
LOC100260072,2211.518301,2623.153759,2097.912352,1770.574343
