ID,A1_A,A1_B,F1_A,F1_B
LOC100254261,675.6560296,886.3824311,900.6328122,1137.990606
LOC100249161,4533.465638,5209.641256,4151.401751,5579.175185
LOC100256033,246.1388439,232.3179759,186.4946732,232.541926
LOC104878977,1002.206767,697.6687522,698.9759704,718.682724
LOC100266416,647.2176771,1649.100217,635.2948625,357.9680829
LOC100261208,1786.713042,2245.263884,4213.566642,3352.632019
LOC100268066,1770.042284,1732.019863,2324.36044,2623.878582
LOC104878974,22.55455541,3.574122706,19.71081912,10.07071333
LOC104878973,51.97354074,27.16333257,0.0,0.0
LOC100260974,417.7495916,427.4650756,336.6001419,336.9111368
